task_id,title,description,priority,status,assignee,project,created_date,due_date,completed_date,tags,estimated_hours,actual_hours,dependencies,progress_percent,comments_count,last_updated
TASK-0001,Annotate training data,Data pipeline and ETL,High,Review,Jaya,Analytics,2025-09-27,2025-10-02,,"data,bug",8,,,92,5,2025-10-01
TASK-0002,Create task scheduler,Documentation and handover,Low,Todo,Deepak,Onboarding,2025-09-04,2025-09-26,,"performance,data,api",16,,TASK-1,0,10,2025-09-21
TASK-0003,Integrate payment gateway,Testing and QA tasks,Medium,In Progress,Harish,Dashboard,2025-09-01,2025-09-15,,"api,bug",40,,,15,2,2025-09-28
TASK-0004,Fix production bug - payment,Frontend design and interaction,Medium,In Progress,Bhanu,Analytics,2025-07-22,2025-08-12,,"api,performance",8,,,49,11,2025-10-08
TASK-0005,Deploy model to staging,Model training and evaluation,Medium,Blocked,Aisha,AuthService,2025-07-21,2025-09-02,,"bug,data",8,,,28,1,2025-08-06
TASK-0006,Create task scheduler,Data pipeline and ETL,High,In Progress,Gayathri,Ops,2025-10-10,2025-11-20,,api,16,,,14,11,2025-10-13
TASK-0007,Train intent classifier,Model training and evaluation,Low,Todo,Chitra,ML-Pipeline,2025-08-09,2025-09-05,,"frontend,research,data",24,,,0,6,2025-08-24
TASK-0008,Build notification service,Backend APIs and integration,Medium,Done,Harish,AuthService,2025-07-19,2025-08-11,2025-08-09,"frontend,data",40,35,,100,5,2025-09-03
TASK-0009,User research interviews,Data pipeline and ETL,Low,Todo,Chitra,Payments,2025-08-12,2025-08-16,,"data,bug",24,,,0,2,2025-08-20
TASK-0010,Data ingestion from 3rd-party,Performance improvements and profiling,Critical,Review,Irfan,Dashboard,2025-08-23,2025-10-01,,ml,16,,,84,11,2025-08-31
TASK-0011,Implement role based access,DevOps tasks for deployment,Medium,Todo,Chitra,Dashboard,2025-08-11,2025-08-17,,data,8,,,0,11,2025-09-16
TASK-0012,Create data backup job,Backend APIs and integration,Low,Review,Irfan,Notifications,2025-09-28,2025-11-10,,"ux,data",4,,,88,4,2025-10-03
TASK-0013,Add feature flags,Customer-facing improvements,High,Review,Jaya,Onboarding,2025-10-11,2025-10-19,,ux,16,,,83,0,2025-10-14
TASK-0014,Implement role based access,DevOps tasks for deployment,Low,Done,Harish,Payments,2025-07-19,2025-08-16,2025-08-07,"frontend,backend",8,8,,100,4,2025-08-28
TASK-0015,Create data backup job,Testing and QA tasks,High,Done,Gayathri,Scheduler,2025-08-28,2025-10-02,2025-10-02,bug,8,8,,100,1,2025-09-15
TASK-0016,Evaluate model accuracy,Customer-facing improvements,Medium,Done,Chitra,Analytics,2025-08-02,2025-08-25,2025-08-08,api,40,42,,100,12,2025-10-05
TASK-0017,Improve logging & monitoring,Data pipeline and ETL,Low,In Progress,Aisha,Notifications,2025-08-12,2025-09-22,,"api,research,backend",4,,,38,12,2025-09-27
TASK-0018,Implement auth API,Performance improvements and profiling,Low,In Progress,Faisal,Platform,2025-09-08,2025-09-15,,"data,api",40,,,20,12,2025-10-01
TASK-0019,Create onboarding emails,Testing and QA tasks,Medium,In Progress,Chitra,Payments,2025-07-29,2025-09-02,,"data,backend",4,,TASK-11,65,4,2025-10-14
TASK-0020,Implement role based access,DevOps tasks for deployment,Low,Done,Faisal,Scheduler,2025-08-25,2025-10-06,2025-10-11,"ux,bug",40,57,,100,0,2025-09-17
TASK-0021,Train intent classifier,Backend APIs and integration,Critical,In Progress,Aisha,Ops,2025-08-15,2025-09-03,,"ux,devops,backend",40,,,72,12,2025-08-24
TASK-0022,Setup feature rollout,Data pipeline and ETL,Low,Done,Bhanu,Payments,2025-10-12,2025-11-12,2025-11-01,"ml,performance",8,8,,100,4,2025-10-13
TASK-0023,Prototype new UI,Testing and QA tasks,Critical,In Progress,Gayathri,Analytics,2025-09-22,2025-10-24,,"bug,data,ux",16,,,29,9,2025-09-29
