task_id,title,description,priority,status,assignee,project,created_date,due_date,completed_date,tags,estimated_hours,actual_hours,dependencies,progress_percent,comments_count,last_updated,text,clean_text,deadline,days_left,workload_hours,priority_encoded
TASK-0001,Annotate training data,Data pipeline and ETL,High,Review,Jaya,Analytics,27-09-2025,02-10-2025,,"data,bug",8,,,92,5,01-10-2025,Annotate training data Data pipeline and ETL,annotate training data data pipeline etl,2025-11-01 23:47:31.673910,3,1,1
TASK-0002,Create task scheduler,Documentation and handover,Low,Todo,Deepak,Onboarding,04-09-2025,26-09-2025,,"performance,data,api",16,,TASK-1,0,10,21-09-2025,Create task scheduler Documentation and handover,create task scheduler documentation handover,2025-11-09 23:47:31.673910,11,3,2
TASK-0003,Integrate payment gateway,Testing and QA tasks,Medium,In Progress,Harish,Dashboard,01-09-2025,15-09-2025,,"api,bug",40,,,15,2,28-09-2025,Integrate payment gateway Testing and QA tasks,integrate payment gateway testing qa task,2025-11-02 23:47:31.673910,4,2,3
TASK-0004,Fix production bug - payment,Frontend design and interaction,Medium,In Progress,Bhanu,Analytics,22-07-2025,12-08-2025,,"api,performance",8,,,49,11,08-10-2025,Fix production bug - payment Frontend design and interaction,fix production bug payment frontend design interaction,2025-11-06 23:47:31.673910,8,4,3
TASK-0005,Deploy model to staging,Model training and evaluation,Medium,Blocked,Aisha,AuthService,21-07-2025,02-09-2025,,"bug,data",8,,,28,1,06-08-2025,Deploy model to staging Model training and evaluation,deploy model staging model training evaluation,2025-11-09 23:47:31.673910,11,7,3
TASK-0006,Create task scheduler,Data pipeline and ETL,High,In Progress,Gayathri,Ops,10-10-2025,20-11-2025,,api,16,,,14,11,13-10-2025,Create task scheduler Data pipeline and ETL,create task scheduler data pipeline etl,2025-11-04 23:47:31.673910,6,6,1
TASK-0007,Train intent classifier,Model training and evaluation,Low,Todo,Chitra,ML-Pipeline,09-08-2025,05-09-2025,,"frontend,research,data",24,,,0,6,24-08-2025,Train intent classifier Model training and evaluation,train intent classifier model training evaluation,2025-11-02 23:47:31.673910,4,5,2
TASK-0008,Build notification service,Backend APIs and integration,Medium,Done,Harish,AuthService,19-07-2025,11-08-2025,09-08-2025,"frontend,data",40,35.0,,100,5,03-09-2025,Build notification service Backend APIs and integration,build notification service backend apis integration,2025-11-02 23:47:31.673910,4,4,3
TASK-0009,User research interviews,Data pipeline and ETL,Low,Todo,Chitra,Payments,12-08-2025,16-08-2025,,"data,bug",24,,,0,2,20-08-2025,User research interviews Data pipeline and ETL,user research interview data pipeline etl,2025-11-08 23:47:31.673910,10,8,2
TASK-0010,Data ingestion from 3rd-party,Performance improvements and profiling,Critical,Review,Irfan,Dashboard,23-08-2025,01-10-2025,,ml,16,,,84,11,31-08-2025,Data ingestion from 3rd-party Performance improvements and profiling,data ingestion rd party performance improvement profiling,2025-11-11 23:47:31.673910,13,1,0
TASK-0011,Implement role based access,DevOps tasks for deployment,Medium,Todo,Chitra,Dashboard,11-08-2025,17-08-2025,,data,8,,,0,11,16-09-2025,Implement role based access DevOps tasks for deployment,implement role based access devops task deployment,2025-11-09 23:47:31.673910,11,6,3
TASK-0012,Create data backup job,Backend APIs and integration,Low,Review,Irfan,Notifications,28-09-2025,10-11-2025,,"ux,data",4,,,88,4,03-10-2025,Create data backup job Backend APIs and integration,create data backup job backend apis integration,2025-11-10 23:47:31.673910,12,1,2
TASK-0013,Add feature flags,Customer-facing improvements,High,Review,Jaya,Onboarding,11-10-2025,19-10-2025,,ux,16,,,83,0,14-10-2025,Add feature flags Customer-facing improvements,add feature flag customer facing improvement,2025-11-02 23:47:31.673910,4,1,1
TASK-0014,Implement role based access,DevOps tasks for deployment,Low,Done,Harish,Payments,19-07-2025,16-08-2025,07-08-2025,"frontend,backend",8,8.0,,100,4,28-08-2025,Implement role based access DevOps tasks for deployment,implement role based access devops task deployment,2025-11-04 23:47:31.673910,6,5,2
TASK-0015,Create data backup job,Testing and QA tasks,High,Done,Gayathri,Scheduler,28-08-2025,02-10-2025,02-10-2025,bug,8,8.0,,100,1,15-09-2025,Create data backup job Testing and QA tasks,create data backup job testing qa task,2025-11-01 23:47:31.673910,3,8,1
TASK-0016,Evaluate model accuracy,Customer-facing improvements,Medium,Done,Chitra,Analytics,02-08-2025,25-08-2025,08-08-2025,api,40,42.0,,100,12,05-10-2025,Evaluate model accuracy Customer-facing improvements,evaluate model accuracy customer facing improvement,2025-11-02 23:47:31.673910,4,8,3
TASK-0017,Improve logging & monitoring,Data pipeline and ETL,Low,In Progress,Aisha,Notifications,12-08-2025,22-09-2025,,"api,research,backend",4,,,38,12,27-09-2025,Improve logging & monitoring Data pipeline and ETL,improve logging monitoring data pipeline etl,2025-11-08 23:47:31.673910,10,3,2
TASK-0018,Implement auth API,Performance improvements and profiling,Low,In Progress,Faisal,Platform,08-09-2025,15-09-2025,,"data,api",40,,,20,12,01-10-2025,Implement auth API Performance improvements and profiling,implement auth api performance improvement profiling,2025-11-11 23:47:31.673910,13,8,2
TASK-0019,Create onboarding emails,Testing and QA tasks,Medium,In Progress,Chitra,Payments,29-07-2025,02-09-2025,,"data,backend",4,,TASK-11,65,4,14-10-2025,Create onboarding emails Testing and QA tasks,create onboarding email testing qa task,2025-10-31 23:47:31.673910,2,4,3
